numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
3000 75 5.8635674 7.3922657E9 7.3299999E9 6.8137568E8 6.4E8 6.71089E9 6.6899999E9 0.0 4.1650176E8
3000 75 5.391913 1.35966321E10 1.35099996E10 7.4219986E9 7.36E9 6.1746335E9 6.1499996E9 0.0 5.7201869E8
3000 75 5.0416536 1.88284518E10 1.86999992E10 1.35973693E10 1.35099996E10 5.2310825E9 5.1899996E9 0.0 5.724119E8
3000 75 5.0100274 2.39060132E10 2.37799997E10 1.88292301E10 1.86999992E10 5.0767831E9 5.0800005E9 0.0 5.7287066E8
3000 75 5.05063 2.90823414E10 2.896E10 2.39066972E10 2.37799997E10 5.1756442E9 5.1800003E9 0.0 5.7300173E8
3000 75 5.684437 3.4914198E10 3.4789999E10 2.90831954E10 2.896E10 5.8310021E9 5.8299986E9 0.0 5.731328E8
3000 75 4.6095796 3.9647052E10 3.9489999E10 3.4914963E10 3.4789999E10 4.7320883E9 4.7000003E9 0.0 6.665216E8
3000 75 4.570747 4.4334911E10 4.4169998E10 3.9647584E10 3.9489999E10 4.6873272E9 4.6799995E9 0.0 6.6658714E8
3000 75 4.9424853 4.9406431E10 4.9239998E10 4.4335456E10 4.4169998E10 5.070975E9 5.0700001E9 0.0 6.6665267E8
3000 75 5.1206293 5.4652916E10 5.4479999E10 4.9407025E10 4.9239998E10 5.2458906E9 5.2400005E9 0.0 6.6671821E8
3000 75 4.9970546 5.9783905E10 5.9610001E10 5.4653452E10 5.4490001E10 5.130453E9 5.12E9 0.0 6.672425E8
3000 75 5.2315836 6.5149084E10 6.4969998E10 5.9784831E10 5.9610001E10 5.3642527E9 5.3599969E9 0.0 6.672425E8
3000 75 4.7251654 7.0012838E10 6.9830001E10 6.5149755E10 6.4969998E10 4.8630825E9 4.8600023E9 0.0 6.6730803E8
3000 75 5.3757033 7.5511742E10 7.5330003E10 7.0013575E10 6.9840003E10 5.4981673E9 5.4899999E9 0.0 6.6737357E8
3000 75 5.799641 8.1438015E10 8.1260003E10 7.5512398E10 7.5330003E10 5.9256177E9 5.9300004E9 0.0 6.674391E8
3000 75 5.021418 8.6620938E10 8.6440002E10 8.14394E10 8.1260003E10 5.1815383E9 5.1799982E9 0.0 6.674391E8
3000 75 4.779228 9.1520803E10 9.1339997E10 8.6621454E10 8.6440002E10 4.8993485E9 4.8999956E9 0.0 6.674391E8
3000 75 5.436286 9.7084514E10 9.691E10 9.1521376E10 9.1339997E10 5.563138E9 5.5700029E9 0.0 6.6757018E8
3000 75 5.13968 1.02371803E11 1.02189998E11 9.7085047E10 9.691E10 5.2867564E9 5.279998E9 0.0 6.6757018E8
3000 75 4.7696657 1.0726717E11 1.07090002E11 1.02372368E11 1.02189998E11 4.8948019E9 4.9000038E9 0.0 6.6763571E8
3000 75 5.545353 1.12976191E11 1.12799998E11 1.07267711E11 1.07090002E11 5.7084805E9 5.709996E9 0.0 6.6770125E8
3000 75 5.2200274 1.18324863E11 1.18149997E11 1.12976765E11 1.12799998E11 5.348098E9 5.3499986E9 0.0 6.6776678E8
3000 75 4.7458878 1.2318693E11 1.23009999E11 1.18325453E11 1.18149997E11 4.8614769E9 4.8600023E9 0.0 6.6796339E8
3000 75 5.513762 1.2886859E11 1.28690004E11 1.23187618E11 1.23009999E11 5.6809718E9 5.6800051E9 0.0 6.6829107E8
3000 75 4.953273 1.3398782E11 1.33810004E11 1.28869155E11 1.28690004E11 5.1186647E9 5.12E9 0.0 6.6829107E8
3000 75 5.45553 1.39629052E11 1.39439997E11 1.33988377E11 1.33810004E11 5.6406753E9 5.629993E9 0.0 6.6842214E8
3000 75 4.799741 1.44615571E11 1.44430006E11 1.39629674E11 1.39450008E11 4.985897E9 4.9799987E9 0.0 6.6842214E8
3000 75 5.016536 1.49708718E11 1.49520007E11 1.44616112E11 1.44430006E11 5.092606E9 5.0900009E9 0.0 6.6842214E8
3000 75 4.880278 1.548027E11 1.54620002E11 1.49709373E11 1.49530001E11 5.0933268E9 5.0900009E9 0.0 6.6855322E8
3000 75 5.331442 1.6026506E11 1.60069992E11 1.54803208E11 1.54620002E11 5.4618522E9 5.4499901E9 0.0 6.6855322E8
