numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
600 15 0.3945775 1.32220902E9 1.25E9 6.553415E8 6.0E8 6.6686752E8 6.5E8 0.0 4.14498816E8
600 15 0.1539487 1.54096013E9 1.47E9 1.35519398E9 1.28E9 1.85766144E8 1.9E8 0.0 4.1541632E8
600 15 0.10126055 1.67172621E9 1.6E9 1.55240166E9 1.48E9 1.19324544E8 1.2E8 0.0 4.15875072E8
600 15 0.093712926 1.78573811E9 1.71E9 1.67301018E9 1.6E9 1.12727936E8 1.1E8 0.0 4.16202752E8
600 15 0.1113743 1.92847782E9 1.86E9 1.78645798E9 1.71E9 1.4201984E8 1.5E8 0.0 4.1639936E8
600 15 0.09008346 2.04160192E9 1.97E9 1.92932224E9 1.86E9 1.1227968E8 1.1E8 0.0 4.16530432E8
600 15 0.09073193 2.15462963E9 2.08E9 2.04258458E9 1.97E9 1.12045056E8 1.1E8 0.0 4.1672704E8
600 15 0.08765279 2.2580055E9 2.19000013E9 2.15535078E9 2.08E9 1.0265472E8 1.10000128E8 0.0 4.16792576E8
600 15 0.08798423 2.36250368E9 2.28999987E9 2.25893018E9 2.19000013E9 1.03573504E8 9.9999744E7 0.0 4.16923648E8
600 15 0.08577216 2.46182323E9 2.39000013E9 2.36341837E9 2.28999987E9 9.8404864E7 1.00000256E8 0.0 4.17120256E8
600 15 0.08032881 2.55456205E9 2.48E9 2.46240742E9 2.39000013E9 9.2154624E7 8.9999872E7 0.0 4.17185792E8
600 15 0.08681538 2.65084134E9 2.58E9 2.55530266E9 2.48E9 9.5538688E7 1.0E8 0.0 4.17513472E8
600 15 0.08540992 2.74733568E9 2.68E9 2.65167027E9 2.58E9 9.5665408E7 1.0E8 0.0 4.17579008E8
600 15 0.08548341 2.84389581E9 2.76999987E9 2.74813286E9 2.68E9 9.5762944E7 8.9999872E7 0.0 4.1771008E8
600 15 0.09243886 2.94784845E9 2.88E9 2.84455398E9 2.76999987E9 1.03294464E8 1.10000128E8 0.0 4.17841152E8
600 15 0.11484628 3.0835287E9 3.00999987E9 2.94936704E9 2.88E9 1.34161664E8 1.29999872E8 0.0 4.17906688E8
600 15 0.1323393 3.23013658E9 3.15000013E9 3.08519962E9 3.00999987E9 1.4493696E8 1.40000256E8 0.0 4.17906688E8
600 15 0.115062885 3.35711744E9 3.28E9 3.23092531E9 3.16E9 1.26192128E8 1.2E8 0.0 4.17972224E8
