numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
2200 55 1.5260297 2.84118272E9 2.76999987E9 9.2201786E8 8.5E8 1.91916493E9 1.91999987E9 0.0 4.16280576E8
2200 55 1.0932847 4.08103578E9 4.00999987E9 2.86857498E9 2.79000013E9 1.2124608E9 1.21999974E9 0.0 4.17329152E8
2200 55 0.91001654 5.0728013E9 5.0E9 4.09026048E9 4.00999987E9 9.825408E8 9.9000013E8 0.0 4.17722368E8
2200 55 0.9234826 6.0514442E9 5.9800003E9 5.0736333E9 5.0E9 9.7781094E8 9.8000026E8 0.0 4.17918976E8
2200 55 0.9570773 7.1197128E9 7.04E9 6.0522501E9 5.9800003E9 1.06746266E9 1.05999974E9 0.0 4.18115584E8
2200 55 0.9172649 8.0671427E9 7.9900001E9 7.1203891E9 7.0499999E9 9.4675354E8 9.4000026E8 0.0 4.18246656E8
2200 55 0.9055974 9.0077809E9 8.9299999E9 8.0678195E9 7.9900001E9 9.3996134E8 9.3999974E8 0.0 4.18246656E8
2200 55 0.9179667 9.9521126E9 9.8800005E9 9.0083205E9 8.9299999E9 9.4379213E8 9.5000064E8 0.0 4.18312192E8
2200 55 0.9117029 1.08952566E10 1.08199997E10 9.9528038E9 9.8800005E9 9.4245274E8 9.3999923E8 0.0 4.18705408E8
2200 55 0.9465911 1.18717737E10 1.18000005E10 1.08959631E10 1.08199997E10 9.7581056E8 9.8000077E8 0.0 4.18770944E8
2200 55 0.8324411 1.27351747E10 1.26599997E10 1.187234E10 1.18000005E10 8.6283469E8 8.5999923E8 0.0 4.18770944E8
2200 55 0.87843215 1.36421509E10 1.35699999E10 1.27358382E10 1.26599997E10 9.063127E8 9.1000013E8 0.0 4.1883648E8
2200 55 0.97343826 1.46595308E10 1.45799997E10 1.36428923E10 1.35699999E10 1.01663846E9 1.00999987E9 0.0 4.1883648E8
2200 55 0.86222565 1.55538606E10 1.54800005E10 1.46601052E10 1.45799997E10 8.9375539E8 9.0000077E8 0.0 4.18967552E8
2200 55 0.8915354 1.64765573E10 1.64E10 1.55545047E10 1.54800005E10 9.2205261E8 9.1999949E8 0.0 4.19033088E8
2200 55 0.8548585 1.73614326E10 1.728E10 1.64775557E10 1.64E10 8.8387686E8 8.8E8 0.0 4.19033088E8
2200 55 0.869492 1.82639862E10 1.81900001E10 1.73619323E10 1.728E10 9.0205389E8 9.1000013E8 0.0 4.19033088E8
2200 55 0.8458105 1.91396905E10 1.90600008E10 1.82645289E10 1.81900001E10 8.751616E8 8.7000064E8 0.0 4.19033088E8
2200 55 0.91101515 2.00803574E10 2.0E10 1.91401472E10 1.90600008E10 9.4021018E8 9.3999923E8 0.0 4.1916416E8
2200 55 0.8425701 2.0950868E10 2.08700006E10 2.00810004E10 2.0E10 8.6986752E8 8.7000064E8 0.0 4.1916416E8
2200 55 0.8875663 2.18673418E10 2.17899991E10 2.09513923E10 2.08700006E10 9.1594957E8 9.1999846E8 0.0 4.19295232E8
2200 55 0.9934256 2.28902134E10 2.28099994E10 2.18680074E10 2.17899991E10 1.02220595E9 1.02000026E9 0.0 4.19295232E8
2200 55 0.9785767 2.39295324E10 2.38500004E10 2.28910326E10 2.28099994E10 1.03849984E9 1.04000102E9 0.0 4.19360768E8
