numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
200 5 0.0954304 1.07455693E9 1.02E9 7.5404333E8 7.1E8 3.205136E8 3.1E8 0.0 4.14314496E8
200 5 0.04114598 1.16578675E9 1.11E9 1.10506637E9 1.05E9 6.0720384E7 6.0E7 0.0 4.15363072E8
200 5 0.03672248 1.22772979E9 1.17E9 1.17709133E9 1.12E9 5.0638464E7 5.0E7 0.0 4.15494144E8
200 5 0.034032945 1.27451008E9 1.22E9 1.22878003E9 1.17E9 4.5730048E7 5.0E7 0.0 4.15756288E8
200 5 0.032941353 1.31886963E9 1.26E9 1.27577792E9 1.22E9 4.3091712E7 4.0E7 0.0 4.15821824E8
200 5 0.030816233 1.36122714E9 1.3E9 1.31990771E9 1.26E9 4.1319424E7 4.0E7 0.0 4.15821824E8
200 5 0.029611086 1.40121702E9 1.34E9 1.3623287E9 1.3E9 3.888832E7 4.0E7 0.0 4.16149504E8
200 5 0.029162755 1.44078426E9 1.38E9 1.40231309E9 1.34E9 3.8471168E7 4.0E7 0.0 4.1621504E8
200 5 0.025765397 1.47650125E9 1.41E9 1.44171891E9 1.38E9 3.4782336E7 3.0E7 0.0 4.16280576E8
200 5 0.025034152 1.51074714E9 1.45E9 1.47722509E9 1.41E9 3.3522048E7 4.0E7 0.0 4.16280576E8
200 5 0.025931748 1.546944E9 1.48E9 1.51188352E9 1.45E9 3.506048E7 3.0E7 0.0 4.16280576E8
200 5 0.026257524 1.58323046E9 1.52E9 1.54780595E9 1.49E9 3.5424512E7 3.0E7 0.0 4.16346112E8
200 5 0.025475184 1.61884941E9 1.56E9 1.58452378E9 1.52E9 3.4325632E7 4.0E7 0.0 4.16411648E8
200 5 0.022126842 1.64955046E9 1.59E9 1.61954893E9 1.56E9 3.0001536E7 3.0E7 0.0 4.16411648E8
200 5 0.021763943 1.67946368E9 1.62E9 1.65031795E9 1.59E9 2.9145728E7 3.0E7 0.0 4.16477184E8
200 5 0.022778178 1.71348109E9 1.65E9 1.68085747E9 1.62E9 3.2623616E7 3.0E7 0.0 4.16477184E8
200 5 0.02223808 1.74383258E9 1.68E9 1.71423949E9 1.65E9 2.9593088E7 3.0E7 0.0 4.16608256E8
200 5 0.021170866 1.77325158E9 1.71E9 1.74466355E9 1.68E9 2.8588032E7 3.0E7 0.0 4.16673792E8
200 5 0.02231314 1.80375104E9 1.74E9 1.77399283E9 1.71E9 2.9758208E7 3.0E7 0.0 4.16673792E8
200 5 0.020650625 1.83330394E9 1.77E9 1.80451418E9 1.74E9 2.878976E7 3.0E7 0.0 4.16804864E8
200 5 0.020818343 1.86236915E9 1.8E9 1.83416294E9 1.77E9 2.8206208E7 3.0E7 0.0 4.168704E8
200 5 0.019861547 1.89079194E9 1.82E9 1.86314726E9 1.8E9 2.7644672E7 2.0E7 0.0 4.168704E8
200 5 0.019200563 1.91821926E9 1.85E9 1.89162022E9 1.83E9 2.659904E7 2.0E7 0.0 4.16935936E8
200 5 0.01813014 1.94404301E9 1.88E9 1.91904E9 1.85E9 2.5003008E7 3.0E7 0.0 4.17001472E8
200 5 0.01787888 1.9722409E9 1.9E9 1.94748531E9 1.88E9 2.4755584E7 2.0E7 0.0 4.17001472E8
200 5 0.011165223 1.99111053E9 1.92E9 1.97299302E9 1.9E9 1.8117504E7 2.0E7 0.0 4.17067008E8
