numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
4200 105 22.262299 2.4113322E10 2.40100004E10 6.6559251E8 6.2E8 2.34477302E10 2.33900012E10 0.0 5.27507456E8
4200 105 23.774357 4.8555028E10 4.8429998E10 2.41407549E10 2.40299991E10 2.44142735E10 2.4399999E10 0.0 5.29014784E8
4200 105 19.785349 6.8526723E10 6.8400001E10 4.8556175E10 4.8429998E10 1.99705477E10 1.99700029E10 0.0 5.29408E8
4200 105 19.259363 8.8125473E10 8.8000004E10 6.852812E10 6.8400001E10 1.9597353E10 1.96000031E10 0.0 5.29801216E8
4200 105 19.709469 1.08150006E11 1.08030001E11 8.8126931E10 8.8000004E10 2.00230748E10 2.00299971E10 0.0 5.29866752E8
4200 105 22.067007 1.30494718E11 1.30360001E11 1.08150866E11 1.08030001E11 2.2343852E10 2.23299994E10 0.0 5.30522112E8
4200 105 20.856012 1.51662461E11 1.51529996E11 1.30495578E11 1.30360001E11 2.11668828E10 2.11699958E10 0.0 5.30653184E8
4200 105 23.201292 1.75131247E11 1.7499E11 1.51663313E11 1.51529996E11 2.34679337E10 2.34600038E10 0.0 5.30653184E8
4200 105 19.389221 1.94807955E11 1.94670002E11 1.75132148E11 1.7499E11 1.96758077E10 1.9680002E10 0.0 5.30915328E8
4200 105 22.584366 2.17736511E11 2.176E11 1.94808824E11 1.94670002E11 2.29276877E10 2.29299978E10 0.0 5.30980864E8
4200 105 18.558868 2.36565053E11 2.36420006E11 2.17737298E11 2.176E11 1.88277555E10 1.88200059E10 0.0 5.310464E8
4200 105 19.064852 2.55863079E11 2.55719997E11 2.36565742E11 2.36420006E11 1.92973373E10 1.92999916E10 0.0 5.31505152E8
4200 105 17.44545 2.73581818E11 2.73439998E11 2.55864029E11 2.55719997E11 1.77177887E10 1.77200005E10 0.0 5.31505152E8
