numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
4600 115 16.433527 1.83515095E10 1.82500004E10 7.0553907E8 6.8E8 1.76459694E10 1.75700009E10 0.0 5.7887539E8
4600 115 17.988394 3.6929376E10 3.6820001E10 1.83735951E10 1.82699991E10 1.85557811E10 1.85500017E10 0.0 5.8064486E8
4600 115 19.324232 5.6532431E10 5.642E10 3.6930388E10 3.6820001E10 1.96020429E10 1.9599999E10 0.0 5.8084147E8
4600 115 15.426158 7.2214667E10 7.2090001E10 5.6533271E10 5.642E10 1.56813967E10 1.56700017E10 0.0 5.8123469E8
4600 115 14.417246 8.6889529E10 8.6759997E10 7.2215478E10 7.2090001E10 1.46740511E10 1.4669996E10 0.0 5.8130022E8
4600 115 14.368038 1.01533073E11 1.01409997E11 8.6890226E10 8.677E10 1.46428477E10 1.46399969E10 0.0 5.8136576E8
4600 115 14.900806 1.16681277E11 1.16550001E11 1.01533852E11 1.01409997E11 1.51474258E10 1.51400038E10 0.0 5.8156237E8
4600 115 14.6449995 1.31584877E11 1.31459998E11 1.16682047E11 1.16550001E11 1.49028291E10 1.49099971E10 0.0 5.8208666E8
4600 115 16.141603 1.47904315E11 1.47760005E11 1.31585622E11 1.31459998E11 1.63186934E10 1.63000074E10 0.0 5.8215219E8
4600 115 16.605051 1.64837442E11 1.64699996E11 1.47904922E11 1.47760005E11 1.69325199E10 1.6939991E10 0.0 5.8221773E8
4600 115 14.606489 1.79726254E11 1.79579994E11 1.64838097E11 1.64699996E11 1.48881572E10 1.4879998E10 0.0 5.8247987E8
4600 115 15.802317 1.95803005E11 1.95660005E11 1.79726877E11 1.79579994E11 1.60761283E10 1.60800113E10 0.0 5.8247987E8
4600 115 16.63687 2.12807451E11 2.1265E11 1.95804201E11 1.95660005E11 1.70032497E10 1.6989995E10 0.0 5.8254541E8
4600 115 15.145312 2.2821929E11 2.28049994E11 2.12808024E11 2.1265E11 1.54112655E10 1.53999933E10 0.0 5.8267648E8
4600 115 18.034864 2.4646502E11 2.463E11 2.28220223E11 2.28060004E11 1.82447964E10 1.82399959E10 0.0 5.8320077E8
4600 115 15.56451 2.62281331E11 2.62110003E11 2.4646638E11 2.463E11 1.58149509E10 1.58100029E10 0.0 5.832663E8
4600 115 14.084646 2.76670382E11 2.76499988E11 2.62282035E11 2.62110003E11 1.43883469E10 1.43899853E10 0.0 5.8339738E8
4600 115 15.768024 2.92668572E11 2.92500013E11 2.76671037E11 2.76499988E11 1.59975342E10 1.60000246E10 0.0 5.8346291E8
4600 115 16.144173 3.0905575E11 3.08880015E11 2.92669358E11 2.92500013E11 1.63863921E10 1.63800023E10 0.0 5.8372506E8
4600 115 14.318944 3.23632366E11 3.23460006E11 3.09056537E11 3.0889001E11 1.4575829E10 1.45699963E10 0.0 5.8372506E8
4600 115 15.266205 3.39114721E11 3.38940002E11 3.23633218E11 3.23460006E11 1.54815037E10 1.54799964E10 0.0 5.8379059E8
4600 115 15.709998 3.55090039E11 3.54910011E11 3.39115377E11 3.38940002E11 1.59746621E10 1.59700091E10 0.0 5.8385613E8
4600 115 21.049355 3.76370233E11 3.76190009E11 3.55090629E11 3.54910011E11 2.12796047E10 2.1279998E10 0.0 5.8424934E8
4600 115 13.91273 3.90547767E11 3.90360007E11 3.76370921E11 3.76190009E11 1.41768458E10 1.41699973E10 0.0 5.8431488E8
4600 115 13.774612 4.04523385E11 4.04329988E11 3.90548292E11 3.90360007E11 1.39750932E10 1.39699814E10 0.0 5.8438042E8
4600 115 14.812761 4.19589521E11 4.19399991E11 4.04523876E11 4.04329988E11 1.50656451E10 1.50700032E10 0.0 5.8457702E8
4600 115 14.678911 4.34555388E11 4.34359992E11 4.19590013E11 4.19399991E11 1.4965375E10 1.4960001E10 0.0 5.8457702E8
4600 115 12.94699 4.47771607E11 4.47569986E11 4.34555879E11 4.34359992E11 1.32157276E10 1.32099932E10 0.0 5.8457702E8
4600 115 13.868392 4.61847134E11 4.61650002E11 4.4777223E11 4.47569986E11 1.40749046E10 1.40800164E10 0.0 5.847081E8
4600 115 14.638605 4.76751725E11 4.76550005E11 4.6184779E11 4.61650002E11 1.4903935E10 1.49000028E10 0.0 5.8477363E8
4600 115 12.986543 4.89991307E11 4.89790013E11 4.76752314E11 4.76550005E11 1.32389929E10 1.32400087E10 0.0 5.8477363E8
4600 115 13.635357 5.03850598E11 5.03649993E11 4.89991897E11 4.89790013E11 1.38587013E10 1.38599793E10 0.0 5.8483917E8
4600 115 17.302137 5.21399992E11 5.21179988E11 5.03851155E11 5.03649993E11 1.75488369E10 1.75299953E10 0.0 5.849047E8
4600 115 21.160715 5.42885315E11 5.42669996E11 5.21400517E11 5.21179988E11 2.1484798E10 2.14900081E10 0.0 5.8510131E8
4600 115 22.877121 5.6598836E11 5.6576999E11 5.42885839E11 5.42669996E11 2.31025213E10 2.30999982E10 0.0 5.8510131E8
4600 115 30.99401 5.9714241E11 5.9691998E11 5.6598882E11 5.6576999E11 3.11535862E10 3.11499817E10 0.0 5.8523238E8
4600 115 26.570482 6.2396275E11 6.2370998E11 5.9714319E11 5.9691998E11 2.68195594E10 2.67900027E10 0.0 5.8523238E8
4600 115 21.428537 6.456148E11 6.4537002E11 6.2396354E11 6.2370998E11 2.16512594E10 2.16600412E10 0.0 5.8529792E8
4600 115 22.208542 6.6808925E11 6.6784002E11 6.4561532E11 6.4537002E11 2.24739328E10 2.24700006E10 0.0 5.856256E8
4600 115 20.598125 6.8895552E11 6.887E11 6.6808984E11 6.6784002E11 2.08656794E10 2.08599777E10 0.0 5.856256E8
4600 115 22.513464 7.1169029E11 7.1142998E11 6.8895631E11 6.887E11 2.27339796E10 2.2729982E10 0.0 5.856256E8
4600 115 22.88811 7.3495013E11 7.3469002E11 7.1169101E11 7.1142998E11 2.32591196E10 2.32600371E10 0.0 5.8575667E8
4600 115 21.083206 7.5631021E11 7.5604001E11 7.3495079E11 7.3469002E11 2.13594276E10 2.13499904E10 0.0 5.8575667E8
4600 115 21.236687 7.7776617E11 7.7749997E11 7.563108E11 7.5604001E11 2.14553723E10 2.14599598E10 0.0 5.8595328E8
4600 115 22.150457 8.0019797E11 7.9992999E11 7.777667E11 7.7749997E11 2.24312689E10 2.24300237E10 0.0 5.8595328E8
4600 115 19.914145 8.2041458E11 8.2013998E11 8.0019843E11 7.9992999E11 2.02161521E10 2.02099917E10 0.0 5.8595328E8
4600 115 23.89955 8.4453537E11 8.4425998E11 8.2041595E11 8.2013998E11 2.41194107E10 2.41200005E10 0.0 5.8601882E8
4600 115 28.098824 8.7286553E11 8.7259002E11 8.4453582E11 8.4425998E11 2.83297055E10 2.83300332E10 0.0 5.8608435E8
4600 115 27.892366 9.0103769E11 9.0074998E11 8.7286645E11 8.7259002E11 2.81712394E10 2.81599672E10 0.0 5.8614989E8
4600 115 29.36108 9.306673E11 9.3037999E11 9.0103847E11 9.0074998E11 2.96288256E10 2.96300052E10 0.0 5.8614989E8
