numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
2600 65 3.6242661 5.3982945E9 5.3299999E9 1.11823782E9 1.06E9 4.28005683E9 4.26999987E9 0.0 4.17316864E8
2600 65 3.2879727 9.0209812E9 8.9499996E9 5.4278794E9 5.36E9 3.59310182E9 3.58999962E9 0.0 4.18627584E8
2600 65 3.3191817 1.25593682E10 1.248E10 9.0327695E9 8.96E9 3.52659866E9 3.52E9 0.0 4.19151872E8
2600 65 3.1283495 1.58494618E10 1.57700004E10 1.25599672E10 1.248E10 3.28949453E9 3.29000038E9 0.0 4.1934848E8
2600 65 2.9988866 1.89414605E10 1.88599992E10 1.58502369E10 1.57799997E10 3.09122355E9 3.07999949E9 0.0 4.19479552E8
2600 65 3.1350284 2.21630956E10 2.208E10 1.89423227E10 1.88599992E10 3.22077286E9 3.22000077E9 0.0 4.19479552E8
2600 65 2.9800837 2.52502589E10 2.51699999E10 2.21638574E10 2.20900004E10 3.08640154E9 3.07999949E9 0.0 4.19610624E8
2600 65 2.8837876 2.82640671E10 2.81899991E10 2.52510106E10 2.51699999E10 3.01305651E9 3.01999923E9 0.0 4.19610624E8
2600 65 3.2322867 3.1629312E10 3.15400008E10 2.82647245E10 2.81899991E10 3.36458752E9 3.35000166E9 0.0 4.8259072E8
2600 65 2.9270942 3.4662887E10 3.4569998E10 3.16299346E10 3.15400008E10 3.03295283E9 3.02999757E9 0.0 4.8259072E8
2600 65 3.1079528 3.7886833E10 3.7780001E10 3.466342E10 3.4580001E10 3.22341274E9 3.2E9 0.0 5.5815373E8
2600 65 3.7690084 4.1778565E10 4.165E10 3.7887427E10 3.7780001E10 3.89113856E9 3.8699991E9 0.0 5.5815373E8
2600 65 3.0929515 4.5006033E10 4.4870001E10 4.1779483E10 4.165E10 3.22655027E9 3.22000077E9 0.0 5.5821926E8
2600 65 2.970377 4.8073052E10 4.7940002E10 4.5006602E10 4.4870001E10 3.06644992E9 3.07000115E9 0.0 6.4846234E8
2600 65 3.5998077 5.1808137E10 5.1640001E10 4.8073552E10 4.7940002E10 3.73458534E9 3.69999872E9 0.0 6.4852787E8
2600 65 3.2036643 5.5111746E10 5.494E10 5.1809268E10 5.1640001E10 3.30247782E9 3.29999974E9 0.0 6.4859341E8
2600 65 3.4039583 5.8617094E10 5.8450002E10 5.5112598E10 5.494E10 3.50449664E9 3.51000166E9 0.0 6.4859341E8
2600 65 3.2425284 6.1972881E10 6.1800002E10 5.86177E10 5.8450002E10 3.35518106E9 3.34999962E9 0.0 6.491177E8
2600 65 3.4444177 6.5513566E10 6.5339998E10 6.1973545E10 6.1800002E10 3.54002125E9 3.53999667E9 0.0 6.4918323E8
2600 65 3.1575353 6.8786528E10 6.8620001E10 6.5514222E10 6.5339998E10 3.27230669E9 3.28000307E9 0.0 6.4918323E8
2600 65 3.2567039 7.2134222E10 7.1960003E10 6.8787134E10 6.8620001E10 3.34708736E9 3.34000128E9 0.0 6.4924877E8
2600 65 2.911201 7.5152859E10 7.498E10 7.2134762E10 7.1960003E10 3.01809664E9 3.01999718E9 0.0 6.4924877E8
2600 65 3.6901653 7.8935851E10 7.8760002E10 7.5153449E10 7.498E10 3.78240205E9 3.78000179E9 0.0 6.493143E8
2600 65 2.923653 8.1966809E10 8.1800004E10 7.8936392E10 7.8760002E10 3.03041741E9 3.04000205E9 0.0 6.4937984E8
2600 65 3.5373266 8.5596512E10 8.5419999E10 8.1967481E10 8.1800004E10 3.62903142E9 3.61999565E9 0.0 6.4944538E8
2600 65 3.2159972 8.8918221E10 8.8740004E10 8.559702E10 8.5419999E10 3.32120064E9 3.32000461E9 0.0 6.4944538E8
2600 65 3.4845827 9.2485722E10 9.2310004E10 8.8918852E10 8.8740004E10 3.56687053E9 3.56999987E9 0.0 6.4951091E8
2600 65 3.2749248 9.586235E10 9.5689998E10 9.2486287E10 9.2310004E10 3.37606246E9 3.37999462E9 0.0 6.4951091E8
2600 65 3.4465358 9.9404489E10 9.9229999E10 9.5862915E10 9.5689998E10 3.54157363E9 3.54000077E9 0.0 6.4957645E8
2600 65 2.9718444 1.02479815E11 1.02310003E11 9.9404939E10 9.9229999E10 3.07487539E9 3.08000358E9 0.0 6.4957645E8
2600 65 3.6881032 1.06250396E11 1.06080002E11 1.02480355E11 1.02310003E11 3.77004032E9 3.76999936E9 0.0 6.4957645E8
2600 65 3.3076963 1.09700194E11 1.09529997E11 1.06250969E11 1.06080002E11 3.44922522E9 3.44999526E9 0.0 6.4964198E8
2600 65 5.0157266 1.14834301E11 1.1466E11 1.0970071E11 1.09529997E11 5.1335905E9 5.1300024E9 0.0 6.4964198E8
2600 65 4.13358 1.19074169E11 1.18899999E11 1.14835038E11 1.1466E11 4.23913062E9 4.23999898E9 0.0 6.4977306E8
2600 65 3.9029844 1.23064934E11 1.22890002E11 1.19074619E11 1.18899999E11 3.99031501E9 3.99000371E9 0.0 6.5023181E8
2600 65 3.2024736 1.26386176E11 1.26209999E11 1.2306536E11 1.22890002E11 3.32081562E9 3.31999642E9 0.0 6.5036288E8
2600 65 3.3755386 1.29853301E11 1.29679999E11 1.26386749E11 1.26209999E11 3.4665513E9 3.47000013E9 0.0 6.5036288E8
2600 65 3.1102176 1.33071503E11 1.32900004E11 1.298538E11 1.29679999E11 3.21770291E9 3.22000486E9 0.0 6.5049395E8
2600 65 3.3875537 1.36607138E11 1.36430002E11 1.33071913E11 1.32900004E11 3.53522483E9 3.52999834E9 0.0 6.5049395E8
2600 65 3.1787677 1.3993812E11 1.39759993E11 1.36607539E11 1.36430002E11 3.33058048E9 3.32999066E9 0.0 6.5049395E8
2600 65 3.6716766 1.43804137E11 1.43629992E11 1.3993866E11 1.39759993E11 3.86547712E9 3.8699991E9 0.0 6.5055949E8
2600 65 3.1178808 1.47054576E11 1.46880004E11 1.43804482E11 1.43629992E11 3.25009408E9 3.25001216E9 0.0 6.5055949E8
2600 65 3.42591 1.50611608E11 1.50440002E11 1.47055215E11 1.46880004E11 3.55639296E9 3.55999744E9 0.0 6.5055949E8
2600 65 2.793903 1.53561481E11 1.53390006E11 1.50612099E11 1.50440002E11 2.94938214E9 2.95000474E9 0.0 6.5055949E8
2600 65 3.3716075 1.57077094E11 1.569E11 1.53561891E11 1.53390006E11 3.51520358E9 3.50999347E9 0.0 6.5062502E8
2600 65 3.16633 1.60392544E11 1.60220004E11 1.57077602E11 1.569E11 3.31494195E9 3.32000461E9 0.0 6.5062502E8
