BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.0954304, finalSystemCpuTime=1.07455693E9, finalUserCpuTime=1.02E9, initialSystemCpuTime=7.5404333E8, initialUserCpuTime=7.1E8, deltaSystemCpuTime=3.205136E8, deltaUserCpuTime=3.1E8, totalExecutionDuration=0.0, threadMemoryConsumption=4.14314496E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.04114598, finalSystemCpuTime=1.16578675E9, finalUserCpuTime=1.11E9, initialSystemCpuTime=1.10506637E9, initialUserCpuTime=1.05E9, deltaSystemCpuTime=6.0720384E7, deltaUserCpuTime=6.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.15363072E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.03672248, finalSystemCpuTime=1.22772979E9, finalUserCpuTime=1.17E9, initialSystemCpuTime=1.17709133E9, initialUserCpuTime=1.12E9, deltaSystemCpuTime=5.0638464E7, deltaUserCpuTime=5.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.15494144E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.034032945, finalSystemCpuTime=1.27451008E9, finalUserCpuTime=1.22E9, initialSystemCpuTime=1.22878003E9, initialUserCpuTime=1.17E9, deltaSystemCpuTime=4.5730048E7, deltaUserCpuTime=5.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.15756288E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.032941353, finalSystemCpuTime=1.31886963E9, finalUserCpuTime=1.26E9, initialSystemCpuTime=1.27577792E9, initialUserCpuTime=1.22E9, deltaSystemCpuTime=4.3091712E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.15821824E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.030816233, finalSystemCpuTime=1.36122714E9, finalUserCpuTime=1.3E9, initialSystemCpuTime=1.31990771E9, initialUserCpuTime=1.26E9, deltaSystemCpuTime=4.1319424E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.15821824E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.029611086, finalSystemCpuTime=1.40121702E9, finalUserCpuTime=1.34E9, initialSystemCpuTime=1.3623287E9, initialUserCpuTime=1.3E9, deltaSystemCpuTime=3.888832E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16149504E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.029162755, finalSystemCpuTime=1.44078426E9, finalUserCpuTime=1.38E9, initialSystemCpuTime=1.40231309E9, initialUserCpuTime=1.34E9, deltaSystemCpuTime=3.8471168E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.1621504E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.025765397, finalSystemCpuTime=1.47650125E9, finalUserCpuTime=1.41E9, initialSystemCpuTime=1.44171891E9, initialUserCpuTime=1.38E9, deltaSystemCpuTime=3.4782336E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16280576E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.025034152, finalSystemCpuTime=1.51074714E9, finalUserCpuTime=1.45E9, initialSystemCpuTime=1.47722509E9, initialUserCpuTime=1.41E9, deltaSystemCpuTime=3.3522048E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16280576E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.025931748, finalSystemCpuTime=1.546944E9, finalUserCpuTime=1.48E9, initialSystemCpuTime=1.51188352E9, initialUserCpuTime=1.45E9, deltaSystemCpuTime=3.506048E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16280576E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.026257524, finalSystemCpuTime=1.58323046E9, finalUserCpuTime=1.52E9, initialSystemCpuTime=1.54780595E9, initialUserCpuTime=1.49E9, deltaSystemCpuTime=3.5424512E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16346112E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.025475184, finalSystemCpuTime=1.61884941E9, finalUserCpuTime=1.56E9, initialSystemCpuTime=1.58452378E9, initialUserCpuTime=1.52E9, deltaSystemCpuTime=3.4325632E7, deltaUserCpuTime=4.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16411648E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.022126842, finalSystemCpuTime=1.64955046E9, finalUserCpuTime=1.59E9, initialSystemCpuTime=1.61954893E9, initialUserCpuTime=1.56E9, deltaSystemCpuTime=3.0001536E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16411648E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.021763943, finalSystemCpuTime=1.67946368E9, finalUserCpuTime=1.62E9, initialSystemCpuTime=1.65031795E9, initialUserCpuTime=1.59E9, deltaSystemCpuTime=2.9145728E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16477184E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.022778178, finalSystemCpuTime=1.71348109E9, finalUserCpuTime=1.65E9, initialSystemCpuTime=1.68085747E9, initialUserCpuTime=1.62E9, deltaSystemCpuTime=3.2623616E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16477184E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.02223808, finalSystemCpuTime=1.74383258E9, finalUserCpuTime=1.68E9, initialSystemCpuTime=1.71423949E9, initialUserCpuTime=1.65E9, deltaSystemCpuTime=2.9593088E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16608256E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.021170866, finalSystemCpuTime=1.77325158E9, finalUserCpuTime=1.71E9, initialSystemCpuTime=1.74466355E9, initialUserCpuTime=1.68E9, deltaSystemCpuTime=2.8588032E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16673792E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.02231314, finalSystemCpuTime=1.80375104E9, finalUserCpuTime=1.74E9, initialSystemCpuTime=1.77399283E9, initialUserCpuTime=1.71E9, deltaSystemCpuTime=2.9758208E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16673792E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.020650625, finalSystemCpuTime=1.83330394E9, finalUserCpuTime=1.77E9, initialSystemCpuTime=1.80451418E9, initialUserCpuTime=1.74E9, deltaSystemCpuTime=2.878976E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.16804864E8)
BenchmarkContext(numberOfDeploymentConfigurations=200, infrastructureCount=5, solvingDurationProcess=0.020818343, finalSystemCpuTime=1.86236915E9, finalUserCpuTime=1.8E9, initialSystemCpuTime=1.83416294E9, initialUserCpuTime=1.77E9, deltaSystemCpuTime=2.8206208E7, deltaUserCpuTime=3.0E7, totalExecutionDuration=0.0, threadMemoryConsumption=4.168704E8)
