numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
1000 25 0.7928898 1.77825421E9 1.7E9 7.1817114E8 6.6E8 1.06008307E9 1.04E9 0.0 4.149248E8
1000 25 0.2721784 2.11682598E9 2.04E9 1.80808973E9 1.73E9 3.08736256E8 3.1E8 0.0 4.1623552E8
1000 25 0.26467675 2.41689651E9 2.34E9 2.1256151E9 2.04E9 2.91281408E8 3.0E8 0.0 4.16628736E8
1000 25 0.23152906 2.67583693E9 2.59000013E9 2.417664E9 2.34E9 2.58172928E8 2.50000128E8 0.0 4.16825344E8
1000 25 0.2335124 2.9326999E9 2.84999987E9 2.67639936E9 2.6E9 2.56300544E8 2.49999872E8 0.0 4.16956416E8
1000 25 0.2504276 3.20963302E9 3.12999987E9 2.93344179E9 2.84999987E9 2.76191232E8 2.8E8 0.0 4.17021952E8
1000 25 0.2712065 3.53620096E9 3.44999987E9 3.21031066E9 3.12999987E9 3.25890304E8 3.2E8 0.0 4.1721856E8
1000 25 0.23480238 3.8012375E9 3.72E9 3.53702246E9 3.44999987E9 2.6421504E8 2.70000128E8 0.0 4.17480704E8
1000 25 0.26080257 4.04319027E9 3.96E9 3.80194842E9 3.72E9 2.41241856E8 2.4E8 0.0 4.17677312E8
1000 25 0.22022514 4.27764966E9 4.19000013E9 4.04392294E9 3.96E9 2.3372672E8 2.30000128E8 0.0 4.17808384E8
1000 25 0.2093698 4.4980772E9 4.4099999E9 4.27824E9 4.19000013E9 2.19837184E8 2.19999744E8 0.0 4.1787392E8
1000 25 0.20743993 4.718208E9 4.6300001E9 4.4989906E9 4.4099999E9 2.19217408E8 2.20000256E8 0.0 4.182016E8
1000 25 0.19251424 4.9213691E9 4.84E9 4.7187599E9 4.6300001E9 2.02609152E8 2.09999872E8 0.0 4.182016E8
1000 25 0.1994987 5.1358776E9 5.0499999E9 4.9220772E9 4.84E9 2.13800448E8 2.09999872E8 0.0 4.18267136E8
1000 25 0.1768662 5.3228877E9 5.24E9 5.1364045E9 5.0499999E9 1.864832E8 1.90000128E8 0.0 4.18332672E8
1000 25 0.19985874 5.5394284E9 5.4499999E9 5.3238195E9 5.24E9 2.15608832E8 2.09999872E8 0.0 4.18398208E8
1000 25 0.20753115 5.7574118E9 5.6700001E9 5.5400975E9 5.4499999E9 2.17314304E8 2.20000256E8 0.0 4.18398208E8
1000 25 0.19695215 5.9677148E9 5.88E9 5.7579346E9 5.6700001E9 2.09780224E8 2.09999872E8 0.0 4.18463744E8
1000 25 0.18476789 6.1630991E9 6.08E9 5.9683471E9 5.88E9 1.94752E8 2.0E8 0.0 4.18463744E8
1000 25 0.22834891 6.4027566E9 6.3100001E9 6.1635297E9 6.08E9 2.3922688E8 2.30000128E8 0.0 4.18463744E8
1000 25 0.2054568 6.6189363E9 6.5299999E9 6.4033807E9 6.32E9 2.15555584E8 2.09999872E8 0.0 4.1852928E8
1000 25 0.20647164 6.8355681E9 6.7500001E9 6.6195369E9 6.5299999E9 2.16031232E8 2.20000256E8 0.0 4.1852928E8
1000 25 0.19488247 7.0413788E9 6.9500001E9 6.8361267E9 6.7500001E9 2.05252096E8 2.0E8 0.0 4.18594816E8
1000 25 0.20623605 7.2595052E9 7.1699999E9 7.0419743E9 6.9500001E9 2.1753088E8 2.19999744E8 0.0 4.18725888E8
