numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
1400 35 1.0261667 1.92510259E9 1.9E9 5.7410278E8 5.6E8 1.35099981E9 1.34E9 0.0 4.15453184E8
1400 35 0.5526134 2.57671194E9 2.55000013E9 1.9568137E9 1.93E9 6.1989824E8 6.2000013E8 0.0 4.1650176E8
1400 35 0.50504863 3.14604493E9 3.11000013E9 2.5886441E9 2.56E9 5.5740083E8 5.5000013E8 0.0 4.1682944E8
1400 35 0.48602664 3.69424E9 3.66E9 3.14699341E9 3.11000013E9 5.4724659E8 5.4999987E8 0.0 4.17091584E8
1400 35 0.47292635 4.24079949E9 4.20999987E9 3.69487539E9 3.66E9 5.459241E8 5.4999987E8 0.0 4.17353728E8
1400 35 0.3963098 4.6638541E9 4.6300001E9 4.24142592E9 4.20999987E9 4.2242816E8 4.20000256E8 0.0 4.174848E8
1400 35 0.462326 5.142402E9 5.1100001E9 4.6644608E9 4.6300001E9 4.77941248E8 4.8E8 0.0 4.17615872E8
1400 35 0.4602947 5.6223631E9 5.5900001E9 5.1430446E9 5.1100001E9 4.79318528E8 4.8E8 0.0 4.17615872E8
1400 35 0.472914 6.1135401E9 6.08E9 5.6230216E9 5.5900001E9 4.90518528E8 4.89999872E8 0.0 4.17943552E8
1400 35 0.5462022 6.6839869E9 6.6499999E9 6.1142497E9 6.08E9 5.6973722E8 5.6999987E8 0.0 4.17943552E8
1400 35 0.48638302 7.1915837E9 7.16E9 6.6848666E9 6.6499999E9 5.06717184E8 5.10000128E8 0.0 4.17943552E8
1400 35 0.46607244 7.6733665E9 7.64E9 7.1921756E9 7.16E9 4.81190912E8 4.8E8 0.0 4.18074624E8
1400 35 0.42837632 8.1176197E9 8.0899999E9 7.6741125E9 7.64E9 4.435072E8 4.49999872E8 0.0 4.18074624E8
1400 35 0.4652095 8.5994844E9 8.5699999E9 8.1183222E9 8.0899999E9 4.8116224E8 4.8E8 0.0 4.1814016E8
1400 35 0.44660667 9.0672712E9 9.0299996E9 8.6003139E9 8.5699999E9 4.66957312E8 4.59999744E8 0.0 4.18205696E8
1400 35 0.5832021 9.6717455E9 9.6300001E9 9.068373E9 9.0299996E9 6.0337254E8 6.0000051E8 0.0 4.18271232E8
1400 35 0.41910386 1.0106283E10 1.00699996E10 9.6723804E9 9.6300001E9 4.33902592E8 4.39999488E8 0.0 4.18402304E8
1400 35 0.4138951 1.0538667E10 1.04999997E10 1.01068247E10 1.00699996E10 4.31842304E8 4.30000128E8 0.0 4.1846784E8
1400 35 0.42194104 1.09763871E10 1.09400003E10 1.053918E10 1.04999997E10 4.3720704E8 4.40000512E8 0.0 4.1846784E8
1400 35 0.41557202 1.14032292E10 1.136E10 1.09769165E10 1.09400003E10 4.26312704E8 4.19999744E8 0.0 4.18533376E8
